code,tipo,marca,modelo,variante,motor,originalpw,modifiedpw,gainpw,maxgainpw,maxgainrpm,originaltorque,modtorque,obd,stg1,acc,ron,vmx,cat,egr,dpf,imm,swr,ms,cat,pricestg1,pricestg2,dtcdecategronly,pricecombo,dpfonly,dpfcombo,dealerpricestg1,dealerpricestg2,dealerdtcdecategronly,dealerpricecombo,dealerdpfonly,dealerdfpcombo,kess,ktag,web
538,AUTO / UTIL,BMW,SERIE 1 F20 LCI 120i,,16T N13,174,210,36,44,6100,250,296,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,629,1355 679,https://dataracing.com.ar/cars/bmw-120i-320i-1-6t-174-hp-n13/
540,AUTO / UTIL,BMW,SERIE 1 F20 LCI 120i,,20t B48 192hp,192,250,58,57,5900,280,328,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,702,1401,
542,AUTO / UTIL,BMW,SERIE 1 F20 LCI 140i,,30T B58 ,340,400,60,65,4800,500,600,1,1,1,1,1,1,0,0,0,0,0,TN6,59900,69900,22900,11450,0,0,17970,20970,6870,3435,0,0,702,1419,
514,AUTO / UTIL,BMW,SERIE 2 F21,,M2,370,410,40,45,5700,465,528,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,629,1357 678,
534,AUTO / UTIL,BMW,SERIE 2 F22,,2.0t n20,184,255,71,74,5900,270,379,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,629,1355 679,https://dataracing.com.ar/cars/bmw-328i-428i-x1-2-0t-245-hp-n20/
539,AUTO / UTIL,BMW,SERIE 2 F 235I,,135i 235i 335i 435i N55 Fxx,306,355,49,50,4500,400,525,1,1,1,1,1,1,0,0,0,0,0,TN5,44900,54900,19900,9950,0,0,13470,16470,5970,2985,0,0,629,1356 679,
540,AUTO / UTIL,BMW,SERIE 2 F 220i,,20t B48 192hp,192,250,58,57,5900,280,328,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,702,1401,
542,AUTO / UTIL,BMW,SERIE 2 F 240i,,30T B58 ,340,400,60,65,4800,500,600,1,1,1,1,1,1,0,0,0,0,0,TN6,59900,69900,22900,11450,0,0,17970,20970,6870,3435,0,0,702,1419,
511,AUTO / UTIL,BMW,SERIE 3 E36,,318i,115,123,8,0,0,162,0,1,1,1,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,250,x,
533,AUTO / UTIL,BMW,SERIE 3 E36,,2.0td,90,115,25,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,TD3,24900,24900,14900,3725,22900,11450,7470,7470,4470,1117.5,6870,3435,x,x,
512,AUTO / UTIL,BMW,SERIE 3 E36,,323i,170,185,15,16,4900,245,269,1,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,145,x,
513,AUTO / UTIL,BMW,SERIE 3 E36,,325i,192,211,19,22,6300,250,279,1,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,145,x,
515,AUTO / UTIL,BMW,SERIE 3 E46,,320d,136,166,30,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,TD2,19900,19900,11900,2975,17900,8950,5970,5970,3570,892.5,5370,2685,50,x,
516,AUTO / UTIL,BMW,SERIE 3 E46,,320i,170,190,20,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,59,x,
513,AUTO / UTIL,BMW,SERIE 3 E46,,325i,192,211,19,22,6300,250,279,1,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,145,x,
517,AUTO / UTIL,BMW,SERIE 3 E46,,328i,193,210,17,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,60,x,
